experiment,fold,model,preprocess,sampling,class_weight,valid_positive_rate,accuracy,balanced_accuracy,precision,recall,f1,brier,roc_auc,pr_auc,log_loss,best_f1_threshold,best_oof_f1,oof_accuracy,oof_balanced_accuracy,oof_precision,oof_recall,oof_f1,oof_brier,oof_roc_auc,oof_pr_auc,oof_log_loss
lightgbm_scale_pos_weight,4,lightgbm,raw_no_clip,none,scale_pos_weight,0.115995115995116,0.9023199023199023,0.652108170979936,0.6595744680851063,0.3263157894736842,0.43661971830985913,0.08199744090252456,0.8232189589997093,0.5130392249979954,0.3471360206977563,,,,,,,,,,,
lightgbm_scale_pos_weight,5,lightgbm,raw_no_clip,none,scale_pos_weight,0.115995115995116,0.9157509157509157,0.6779950567025298,0.7954545454545454,0.3684210526315789,0.5035971223021583,0.06861182286223683,0.8615004361733061,0.6310357885363757,0.28660332879151246,,,,,,,,,,,
lightgbm_scale_pos_weight,oof,lightgbm,raw_no_clip,none,scale_pos_weight,0.1159384915792043,,,,,,,,,,0.12,0.525691699604743,0.8828411032462777,0.7425897294312535,0.49534450651769085,0.56,0.525691699604743,0.07563588920827591,0.8476939172890814,0.56565672211724,0.3148005644276822
lightgbm_random_under,1,lightgbm,raw_no_clip,random_under,none,0.11585365853658537,0.7134146341463414,0.7052994555353902,0.2426470588235294,0.6947368421052632,0.35967302452316074,0.20751846816608377,0.7875426497277678,0.39046592687312054,0.6704585421710709,,,,,,,,,,,
lightgbm_random_under,2,lightgbm,raw_no_clip,random_under,none,0.11585365853658537,0.724390243902439,0.770961887477314,0.27335640138408307,0.8315789473684211,0.4114583333333333,0.20647523575592247,0.8443847549909256,0.41618971276711975,0.6959342558469183,,,,,,,,,,,
lightgbm_random_under,3,lightgbm,raw_no_clip,random_under,none,0.115995115995116,0.7008547008547008,0.7073422506542599,0.23776223776223776,0.7157894736842105,0.3569553805774278,0.21640267724416112,0.7870601919162546,0.36499042984430485,0.7054080561837222,,,,,,,,,,,
lightgbm_random_under,4,lightgbm,raw_no_clip,random_under,none,0.115995115995116,0.724053724053724,0.7341814480953766,0.2600732600732601,0.7473684210526316,0.3858695652173913,0.213713945486879,0.7870165745856355,0.36977421956745826,0.7083666295716445,,,,,,,,,,,
lightgbm_random_under,5,lightgbm,raw_no_clip,random_under,none,0.115995115995116,0.7338217338217338,0.7488514102936901,0.27137546468401486,0.7684210526315789,0.4010989010989011,0.20659753733063901,0.799142192497819,0.39913476422742783,0.7079609770935316,,,,,,,,,,,
lightgbm_random_under,oof,lightgbm,raw_no_clip,random_under,none,0.1159384915792043,,,,,,,,,,0.8999999999999999,0.4258188824662813,0.8545277031974615,0.685420093580168,0.3925399644760213,0.4652631578947368,0.4258188824662813,0.21014003766330494,0.8012781539713447,0.3795949099604392,0.6976186483397605
lightgbm_random_over,1,lightgbm,raw_no_clip,random_over,none,0.11585365853658537,0.9121951219512195,0.6576406533575317,0.7948717948717948,0.3263157894736842,0.4626865671641791,0.07483708569248736,0.8475499092558985,0.5691623731544226,0.3139842685749674,,,,,,,,,,,
lightgbm_random_over,2,lightgbm,raw_no_clip,random_over,none,0.11585365853658537,0.9073170731707317,0.6686025408348457,0.6938775510204082,0.35789473684210527,0.4722222222222222,0.0732280188410643,0.8775317604355717,0.6042972686656999,0.27616844771347615,,,,,,,,,,,
lightgbm_random_over,3,lightgbm,raw_no_clip,random_over,none,0.115995115995116,0.9035409035409036,0.6573713288746729,0.6666666666666666,0.3368421052631579,0.44755244755244755,0.08127592300848914,0.8334544925850537,0.5240038924084903,0.3393207337325124,,,,,,,,,,,
lightgbm_random_over,4,lightgbm,raw_no_clip,random_over,none,0.115995115995116,0.8998778998778999,0.6324367548706019,0.6585365853658537,0.28421052631578947,0.39705882352941174,0.08330526600918284,0.8206891538237859,0.5110009582341415,0.3488850599073056,,,,,,,,,,,
lightgbm_random_over,5,lightgbm,raw_no_clip,random_over,none,0.115995115995116,0.9157509157509157,0.6688499563826694,0.825,0.3473684210526316,0.4888888888888889,0.06942748555784153,0.8591451003198604,0.6251435917441345,0.29285834715780756,,,,,,,,,,,
lightgbm_random_over,oof,lightgbm,raw_no_clip,random_over,none,0.1159384915792043,,,,,,,,,,0.15499999999999997,0.527448869752422,0.8928484256773249,0.7290432735621495,0.539647577092511,0.5157894736842106,0.527448869752422,0.0764135929203949,0.8472260164491847,0.5647116507515774,0.31423401480834245
lightgbm_smote,1,lightgbm,raw_no_clip,smote,none,0.11585365853658537,0.9024390243902439,0.6475499092558983,0.6666666666666666,0.3157894736842105,0.42857142857142855,0.07873551142105559,0.8401742286751361,0.5417019783521885,0.3103736808162204,,,,,,,,,,,
lightgbm_smote,2,lightgbm,raw_no_clip,smote,none,0.11585365853658537,0.9073170731707317,0.6823230490018148,0.6727272727272727,0.3894736842105263,0.49333333333333335,0.0748206101151929,0.8602250453720507,0.5687801063531864,0.2826686484267319,,,,,,,,,,,
lightgbm_smote,3,lightgbm,raw_no_clip,smote,none,0.115995115995116,0.9047619047619048,0.6580619366094795,0.6808510638297872,0.3368421052631579,0.4507042253521127,0.07841107089908839,0.8469613259668509,0.5343598165452618,0.30929634677702234,,,,,,,,,,,
lightgbm_smote,4,lightgbm,raw_no_clip,smote,none,0.115995115995116,0.8986568986568987,0.6546088979354463,0.6153846153846154,0.3368421052631579,0.43537414965986393,0.07791400472310821,0.8249491131142774,0.5298154153044206,0.31955855867077193,,,,,,,,,,,
lightgbm_smote,5,lightgbm,raw_no_clip,smote,none,0.115995115995116,0.8998778998778999,0.6690171561500436,0.6140350877192983,0.3684210526315789,0.4605263157894737,0.0744406112587316,0.857662111078802,0.5812843328788027,0.285637170099091,,,,,,,,,,,
lightgbm_smote,oof,lightgbm,raw_no_clip,smote,none,0.1159384915792043,,,,,,,,,,0.20999999999999996,0.5330535152151101,0.8913839394679034,0.7364462785899037,0.5313807531380753,0.5347368421052632,0.5330535152151101,0.07686431955460189,0.8457793019268215,0.5476701140199107,0.30150444712036123
xgboost_base,1,xgboost,raw_no_clip,none,none,0.11585365853658537,0.9,0.5958620689655173,0.76,0.2,0.31666666666666665,0.07765011489391327,0.8188166969147006,0.5166564023104034,0.2745205054787721,,,,,,,,,,,
xgboost_base,2,xgboost,raw_no_clip,none,none,0.11585365853658537,0.8987804878048781,0.6134664246823957,0.6764705882352942,0.24210526315789474,0.35658914728682173,0.07530175894498825,0.8486969147005445,0.5387562595684761,0.2590960233280619,,,,,,,,,,,
xgboost_base,3,xgboost,raw_no_clip,none,none,0.115995115995116,0.9035409035409036,0.616218377435301,0.7666666666666667,0.24210526315789474,0.368,0.0800291895866394,0.8172579238150626,0.4840763586620529,0.28028033025048144,,,,,,,,,,,
xgboost_base,4,xgboost,raw_no_clip,none,none,0.115995115995116,0.8962148962148963,0.5800668799069497,0.7272727272727273,0.16842105263157894,0.27350427350427353,0.08213061094284058,0.8099738296016284,0.462775832202605,0.28709635192586325,,,,,,,,,,,
xgboost_base,5,xgboost,raw_no_clip,none,none,0.115995115995116,0.9096459096459096,0.6242439662692643,0.8888888888888888,0.25263157894736843,0.39344262295081966,0.07499020546674728,0.8328002326257633,0.5496744966126597,0.2653298174527012,,,,,,,,,,,
xgboost_base,oof,xgboost,raw_no_clip,none,none,0.1159384915792043,,,,,,,,,,0.18,0.48262910798122066,0.865511349768123,0.7245572379319364,0.43559322033898307,0.5410526315789473,0.48262910798122066,0.0780196235047032,0.8252852451393531,0.5079904028414074,0.27326145389163053
xgboost_scale_pos_weight,1,xgboost,raw_no_clip,none,scale_pos_weight,0.11585365853658537,0.8878048780487805,0.6987295825771325,0.5180722891566265,0.45263157894736844,0.48314606741573035,0.08902401477098465,0.8280798548094375,0.5162229133516988,0.30015009758477446,,,,,,,,,,,
xgboost_scale_pos_weight,2,xgboost,raw_no_clip,none,scale_pos_weight,0.11585365853658537,0.8829268292682927,0.7279854809437387,0.49504950495049505,0.5263157894736842,0.5102040816326531,0.09204453229904175,0.8485372050816697,0.5173052549423122,0.30944313501347087,,,,,,,,,,,
xgboost_scale_pos_weight,3,xgboost,raw_no_clip,none,scale_pos_weight,0.115995115995116,0.8766788766788767,0.6787583599883686,0.46511627906976744,0.42105263157894735,0.4419889502762431,0.09479913860559464,0.813477755161384,0.4635647244140301,0.3134311029311475,,,,,,,,,,,
xgboost_scale_pos_weight,4,xgboost,raw_no_clip,none,scale_pos_weight,0.115995115995116,0.8656898656898657,0.6816879906949694,0.42424242424242425,0.4421052631578947,0.4329896907216495,0.09836343675851822,0.7981535330037802,0.4652216494124007,0.33008023293516786,,,,,,,,,,,
xgboost_scale_pos_weight,5,xgboost,raw_no_clip,none,scale_pos_weight,0.115995115995116,0.8864468864468864,0.7345812736260541,0.51,0.5368421052631579,0.5230769230769231,0.08726225793361664,0.8342105263157895,0.5608489514559296,0.2964981547304538,,,,,,,,,,,
xgboost_scale_pos_weight,oof,xgboost,raw_no_clip,none,scale_pos_weight,0.1159384915792043,,,,,,,,,,0.4549999999999999,0.49067713444553485,0.8733219428850378,0.7225725827545119,0.45955882352941174,0.5263157894736842,0.49067713444553485,0.09229781527757247,0.8237821500188903,0.500894869056756,0.3099180436569711
